Country,Restaurant Name,Sentiment,Review Title,Review Date,Review,Review Length,cleaned_review,cleaned_review_tokens,Sentimento
France,The Frog at Bercy Village,Negative,Rude manager,May 2024 •,The manager became agressive when I said the carbonara was not good. She was rude. It was  a very bad experience. The worst in Rome in many years.,146,manager became agressive said carbonara good rude bad experience worst rome many years,"['manager', 'became', 'agressive', 'said', 'carbonara', 'good', 'rude', 'bad', 'experience', 'worst', 'rome', 'many', 'years']",Muito Negativo
France,The Frog at Bercy Village,Negative,A big disappointment,Feb 2024 •,"I ordered a beef fillet ask to be done medium, I got it well done cooked and very dry, when I told them they took the steak and after 20 minutes they brought me another steak that was completely rare, I left all the steak , and they asked me about it but charged me the fool price.",281,ordered beef fillet ask done medium got well done cooked dry told took steak 20 minutes brought another steak completely rare left steak asked charged fool price,"['ordered', 'beef', 'fillet', 'ask', 'done', 'medium', 'got', 'well', 'done', 'cooked', 'dry', 'told', 'took', 'steak', '20', 'minutes', 'brought', 'another', 'steak', 'completely', 'rare', 'left', 'steak', 'asked', 'charged', 'fool', 'price']",Muito Negativo
France,The Frog at Bercy Village,Negative,Pretty Place with Bland Food,Nov 2023 •,"This is an attractive venue with welcoming, albeit but somewhat slow service. The offerings are pleasingly presented but most everything has no taste. It was as though ingredients were just assembled without seasoning: a lovely restaurant, except for the food.",260,attractive venue welcoming albeit somewhat slow service offerings pleasingly presented everything taste though ingredients assembled without seasoning lovely restaurant except food,"['attractive', 'venue', 'welcoming', 'albeit', 'somewhat', 'slow', 'service', 'offerings', 'pleasingly', 'presented', 'everything', 'taste', 'though', 'ingredients', 'assembled', 'without', 'seasoning', 'lovely', 'restaurant', 'except', 'food']",Neutro
France,The Frog at Bercy Village,Negative,Great service and wine but inedible food,Mar 2023 •,"Sadly I  used the high TripAdvisor rating too literally. We have been fortunate to eat at a number of fine restaurants so  know that amazing buzz from  a mouthful of fine freshly cooked food from a great chef.
Never before have we eaten a tasting menu and never will we again.
Ad Hoc has a great ambience with attentive friendly service and all the paired wines were exceptional.
Maybe we hit a night when the chef was off but every single course of food was certainly not freshly cooked and , as we passed the kitchen on the way to the bathroom, noticed plates of  precooked food ready to go on the tasting menu plates. If it had been the odd dish that disappointed, we would have accepted that it might have just been our palates not liking it. As it was every plate of food was not hot, bland, lacking any spark and had probably been sitting around for a while.l
All the serving staff were great as was the wine but I failed to finish any plate offered. 
The tasting menu looked good value but a simple bowl of hot freshly cooked pasta would have done better justice to the wine.
When asked ,I admitted , with that great English understatement, that I had been disappointed. I found 17 euros had been deducted from the 190 euro bill so it was nice that they noticed.
Probably best to avoid the tasting menus and enjoy their great wine selection with some pasta and maybe cheese course.

I feel responsible that I made a poor choice not realizing that this is a place geared for tourists. 
An expensive mistake.",1513,sadly used high tripadvisor rating literally fortunate eat number fine restaurants know amazing buzz mouthful fine freshly cooked food great chefnever eaten tasting menu never againad hoc great ambience attentive friendly service paired wines exceptionalmaybe hit night chef every single course food certainly freshly cooked passed kitchen way bathroom noticed plates precooked food ready go tasting menu plates odd dish disappointed would accepted might palates liking every plate food hot bland lacking spark probably sitting around whilelall serving staff great wine failed finish plate offered tasting menu looked good value simple bowl hot freshly cooked pasta would done better justice winewhen asked admitted great english understatement disappointed found 17 euros deducted 190 euro bill nice noticedprobably best avoid tasting menus enjoy great wine selection pasta maybe cheese coursei feel responsible made poor choice realizing place geared tourists expensive mistake,"['sadly', 'used', 'high', 'tripadvisor', 'rating', 'literally', 'fortunate', 'eat', 'number', 'fine', 'restaurants', 'know', 'amazing', 'buzz', 'mouthful', 'fine', 'freshly', 'cooked', 'food', 'great', 'chefnever', 'eaten', 'tasting', 'menu', 'never', 'againad', 'hoc', 'great', 'ambience', 'attentive', 'friendly', 'service', 'paired', 'wines', 'exceptionalmaybe', 'hit', 'night', 'chef', 'every', 'single', 'course', 'food', 'certainly', 'freshly', 'cooked', 'passed', 'kitchen', 'way', 'bathroom', 'noticed', 'plates', 'precooked', 'food', 'ready', 'go', 'tasting', 'menu', 'plates', 'odd', 'dish', 'disappointed', 'would', 'accepted', 'might', 'palates', 'liking', 'every', 'plate', 'food', 'hot', 'bland', 'lacking', 'spark', 'probably', 'sitting', 'around', 'whilelall', 'serving', 'staff', 'great', 'wine', 'failed', 'finish', 'plate', 'offered', 'tasting', 'menu', 'looked', 'good', 'value', 'simple', 'bowl', 'hot', 'freshly', 'cooked', 'pasta', 'would', 'done', 'better', 'justice', 'winewhen', 'asked', 'admitted', 'great', 'english', 'understatement', 'disappointed', 'found', '17', 'euros', 'deducted', '190', 'euro', 'bill', 'nice', 'noticedprobably', 'best', 'avoid', 'tasting', 'menus', 'enjoy', 'great', 'wine', 'selection', 'pasta', 'maybe', 'cheese', 'coursei', 'feel', 'responsible', 'made', 'poor', 'choice', 'realizing', 'place', 'geared', 'tourists', 'expensive', 'mistake']",Muito Positivo
France,The Frog at Bercy Village,Negative,Avoid- Worst meal in Rome - possibly ever,Nov 2022 •,"From the start this meal was bad- especially given the price. We visited for my husbands birthday after being recommended by our local hotel. The lady in charge appeared at our table as we arrived to basically up-sell the truffle menu. Plonked some truffles on the table and then with no explanation of how they would enhance the dishes gave us a rehearsed speech which she proceeded to repeat word for word at every single table. If the food had been good we could have forgiven this but it wasn’t. The best parts were the bland bits as at least they were inoffensive - nothing was seasoned and sauces were completely tasteless with strange and weird combinations. But the worst part of the meal was my husbands inedible medallions of ‘lamb’ dish. This was made up of a tiny amount of lamb gristle and fat wrapped around some mushy stuff we couldn’t identify. Fillet of beef was sort of well cooked (frankly hard to get wrong) but served with exactly the same sauce as the lamb, some reconstituted mash in strange tube shapes and tasteless, watery spinach. We asked for wine recommendations. The wines were ok but we weren’t told what they were, they weren’t explained to us (I had to ask what mine was and was told it was ‘local’) and we weren’t offered any to try. With so much choice nearby and so many better (and much cheaper options) I’d avoid.",1351,start meal bad especially given price visited husbands birthday recommended local hotel lady charge appeared table arrived basically upsell truffle menu plonked truffles table explanation would enhance dishes gave us rehearsed speech proceeded repeat word word every single table food good could forgiven wasnt best parts bland bits least inoffensive nothing seasoned sauces completely tasteless strange weird combinations worst part meal husbands inedible medallions lamb dish made tiny amount lamb gristle fat wrapped around mushy stuff couldnt identify fillet beef sort well cooked frankly hard get wrong served exactly sauce lamb reconstituted mash strange tube shapes tasteless watery spinach asked wine recommendations wines ok werent told werent explained us ask mine told local werent offered try much choice nearby many better much cheaper options id avoid,"['start', 'meal', 'bad', 'especially', 'given', 'price', 'visited', 'husbands', 'birthday', 'recommended', 'local', 'hotel', 'lady', 'charge', 'appeared', 'table', 'arrived', 'basically', 'upsell', 'truffle', 'menu', 'plonked', 'truffles', 'table', 'explanation', 'would', 'enhance', 'dishes', 'gave', 'us', 'rehearsed', 'speech', 'proceeded', 'repeat', 'word', 'word', 'every', 'single', 'table', 'food', 'good', 'could', 'forgiven', 'wasnt', 'best', 'parts', 'bland', 'bits', 'least', 'inoffensive', 'nothing', 'seasoned', 'sauces', 'completely', 'tasteless', 'strange', 'weird', 'combinations', 'worst', 'part', 'meal', 'husbands', 'inedible', 'medallions', 'lamb', 'dish', 'made', 'tiny', 'amount', 'lamb', 'gristle', 'fat', 'wrapped', 'around', 'mushy', 'stuff', 'couldnt', 'identify', 'fillet', 'beef', 'sort', 'well', 'cooked', 'frankly', 'hard', 'get', 'wrong', 'served', 'exactly', 'sauce', 'lamb', 'reconstituted', 'mash', 'strange', 'tube', 'shapes', 'tasteless', 'watery', 'spinach', 'asked', 'wine', 'recommendations', 'wines', 'ok', 'werent', 'told', 'werent', 'explained', 'us', 'ask', 'mine', 'told', 'local', 'werent', 'offered', 'try', 'much', 'choice', 'nearby', 'many', 'better', 'much', 'cheaper', 'options', 'id', 'avoid']",Negativo
France,The Frog at Bercy Village,Negative,"Shocking management, TERRIBLE service by mum and daughter!! FOR Tourist ONLY!!",Jul 2021 •,"We visited this restaurant on Saturday night and we had the most disappointing service and food experience ever. It was my partner's bday celebration weekend. 

The restaurant is run by a blonde Manager and her daughter wich had the most terrible attitude, they both made sure we will never be back there.
We were sitting at the table near the window but the ac was off and outside about 35 degrees. Halfway through our meal (truffle tasting menu with wine pairing), we asked to move anywhere else because it was too warm there.
The young waitress (the daughter) asked the manager (her mum) to move us, but she replies a very sharp NO!!!!! Also, a dog pooped just in front of us, on the pedestrian side, but apparently, according to the same waitress, that was nothing that concerned the restaurant. Anyhow now not only was it crazy hot but with a nice poo view too.
So we could not move anywhere even though the restaurant was empty, for no reason. Asked to talk to her mum (The Manager) she never touches the table or acknowledges us. How can you deny to a couple with 230 euro bills to move to another table when your restaurant is empty? 
Finally, a gem of a waitress with curly hair approached the table and moved us to another spot, where we spent the rest of the evening in confinement because as I said one side of the restaurant was empty for the whole night.
I have been managing restaurants for my whole life, and I never gave such an awful service and attitude to my guests.

The tempo of service completely wrong, food was getting to our table way earlier than wine.
The wine was poured into the glasses and set in the station for about 20 minutes before being served, subjected to the bacterias and dust since everyone was passing by.

Food was good but if you are used to first-class and fine dining service keep out from this place!",1848,visited restaurant saturday night disappointing service food experience ever partners bday celebration weekend restaurant run blonde manager daughter wich terrible attitude made sure never back therewe sitting table near window ac outside 35 degrees halfway meal truffle tasting menu wine pairing asked move anywhere else warm therethe young waitress daughter asked manager mum move us replies sharp also dog pooped front us pedestrian side apparently according waitress nothing concerned restaurant anyhow crazy hot nice poo view tooso could move anywhere even though restaurant empty reason asked talk mum manager never touches table acknowledges us deny couple 230 euro bills move another table restaurant empty finally gem waitress curly hair approached table moved us another spot spent rest evening confinement said one side restaurant empty whole nighti managing restaurants whole life never gave awful service attitude gueststhe tempo service completely wrong food getting table way earlier winethe wine poured glasses set station 20 minutes served subjected bacterias dust since everyone passing byfood good used firstclass fine dining service keep place,"['visited', 'restaurant', 'saturday', 'night', 'disappointing', 'service', 'food', 'experience', 'ever', 'partners', 'bday', 'celebration', 'weekend', 'restaurant', 'run', 'blonde', 'manager', 'daughter', 'wich', 'terrible', 'attitude', 'made', 'sure', 'never', 'back', 'therewe', 'sitting', 'table', 'near', 'window', 'ac', 'outside', '35', 'degrees', 'halfway', 'meal', 'truffle', 'tasting', 'menu', 'wine', 'pairing', 'asked', 'move', 'anywhere', 'else', 'warm', 'therethe', 'young', 'waitress', 'daughter', 'asked', 'manager', 'mum', 'move', 'us', 'replies', 'sharp', 'also', 'dog', 'pooped', 'front', 'us', 'pedestrian', 'side', 'apparently', 'according', 'waitress', 'nothing', 'concerned', 'restaurant', 'anyhow', 'crazy', 'hot', 'nice', 'poo', 'view', 'tooso', 'could', 'move', 'anywhere', 'even', 'though', 'restaurant', 'empty', 'reason', 'asked', 'talk', 'mum', 'manager', 'never', 'touches', 'table', 'acknowledges', 'us', 'deny', 'couple', '230', 'euro', 'bills', 'move', 'another', 'table', 'restaurant', 'empty', 'finally', 'gem', 'waitress', 'curly', 'hair', 'approached', 'table', 'moved', 'us', 'another', 'spot', 'spent', 'rest', 'evening', 'confinement', 'said', 'one', 'side', 'restaurant', 'empty', 'whole', 'nighti', 'managing', 'restaurants', 'whole', 'life', 'never', 'gave', 'awful', 'service', 'attitude', 'gueststhe', 'tempo', 'service', 'completely', 'wrong', 'food', 'getting', 'table', 'way', 'earlier', 'winethe', 'wine', 'poured', 'glasses', 'set', 'station', '20', 'minutes', 'served', 'subjected', 'bacterias', 'dust', 'since', 'everyone', 'passing', 'byfood', 'good', 'used', 'firstclass', 'fine', 'dining', 'service', 'keep', 'place']",Muito Negativo
France,The Frog at Bercy Village,Negative,We tired the tasting menu - avoid,Jan 2020 •,"We tired the tasting menu with wine pairing. The food was not interesting, not very tasty and overall wasted time and money. I would not come back and I would not recommend it",175,tired tasting menu wine pairing food interesting tasty overall wasted time money would come back would recommend,"['tired', 'tasting', 'menu', 'wine', 'pairing', 'food', 'interesting', 'tasty', 'overall', 'wasted', 'time', 'money', 'would', 'come', 'back', 'would', 'recommend']",Neutro
France,The Frog at Bercy Village,Negative,Huge Disappointment,Oct 2019 •,"This restaurant’s high rating is wholly unwarranted.  We were looking forward to Ad Hoc’s truffle menu this week with white truffles in season and left sorely disappointed.  The food was flavorless, served cold, and overpriced to boot.  It seemed as if the dishes had been made in advance and reheated.  The truffles inferior in quality and taste.  We dined at other restaurants in Rome the same week that served far more flavorful truffles at a much lower price, so recognize the difference!  The service was slow and disjointed.  The only thing that checked out were the wine pairings, which were fine.  Do yourself a favor and look elsewhere.",645,restaurants high rating wholly unwarranted looking forward ad hocs truffle menu week white truffles season left sorely disappointed food flavorless served cold overpriced boot seemed dishes made advance reheated truffles inferior quality taste dined restaurants rome week served far flavorful truffles much lower price recognize difference service slow disjointed thing checked wine pairings fine favor look elsewhere,"['restaurants', 'high', 'rating', 'wholly', 'unwarranted', 'looking', 'forward', 'ad', 'hocs', 'truffle', 'menu', 'week', 'white', 'truffles', 'season', 'left', 'sorely', 'disappointed', 'food', 'flavorless', 'served', 'cold', 'overpriced', 'boot', 'seemed', 'dishes', 'made', 'advance', 'reheated', 'truffles', 'inferior', 'quality', 'taste', 'dined', 'restaurants', 'rome', 'week', 'served', 'far', 'flavorful', 'truffles', 'much', 'lower', 'price', 'recognize', 'difference', 'service', 'slow', 'disjointed', 'thing', 'checked', 'wine', 'pairings', 'fine', 'favor', 'look', 'elsewhere']",Negativo
France,The Frog at Bercy Village,Negative,Expensive mediocre food and service,Jun 2019 •,"We got the Tasting Menu and wine pairing. Frankly, the food wasn't tasty and the wine was boring. The service was completely impersonal and almost robotic. I would avoid this place at all costs, there are too many really good restaurants in Rome",245,got tasting menu wine pairing frankly food wasnt tasty wine boring service completely impersonal almost robotic would avoid place costs many really good restaurants rome,"['got', 'tasting', 'menu', 'wine', 'pairing', 'frankly', 'food', 'wasnt', 'tasty', 'wine', 'boring', 'service', 'completely', 'impersonal', 'almost', 'robotic', 'would', 'avoid', 'place', 'costs', 'many', 'really', 'good', 'restaurants', 'rome']",Muito Negativo
France,The Frog at Bercy Village,Negative,all around awful,May 2019 •,"My wife and I booked well in advance based on TA reviews. We were seated as we arrived and the interior was wonderful. We each ordered the pumpkin flower stuffed with cheese. They arrived about 30 minutes later stone cold and tasted like hard potato chips stuffed with a glob of cheese. We ate about 20% and told the waitress, who never came back to check, when she came to clear the plates that is was awful. She argued with us saying""well, that is how we make it."" About another 30 minutes passed and our second course arrive, again stone cold-it was a pasta dish that was way under cooked, not just al dente. We did not eat more than a few bites but sat there for about 20 minutes until someone came by to clear the plates-we told her that the food was not edible and asked for our waitress--after sitting for about 10-15 more minutes we decided to get up an leave-the waitress never appeared until we started to walk out and then she said our main course was ready. This was 2 hours after we arrived. We paid for the first two course even though a classy restaurant would not have charged at all, and walked out. The waitress was rude and the food awful and the service even worse.",1185,wife booked well advance based ta reviews seated arrived interior wonderful ordered pumpkin flower stuffed cheese arrived 30 minutes later stone cold tasted like hard potato chips stuffed glob cheese ate 20 told waitress never came back check came clear plates awful argued us sayingwell make another 30 minutes passed second course arrive stone coldit pasta dish way cooked al dente eat bites sat 20 minutes someone came clear plateswe told food edible asked waitressafter sitting 1015 minutes decided get leavethe waitress never appeared started walk said main course ready 2 hours arrived paid first two course even though classy restaurant would charged walked waitress rude food awful service even worse,"['wife', 'booked', 'well', 'advance', 'based', 'ta', 'reviews', 'seated', 'arrived', 'interior', 'wonderful', 'ordered', 'pumpkin', 'flower', 'stuffed', 'cheese', 'arrived', '30', 'minutes', 'later', 'stone', 'cold', 'tasted', 'like', 'hard', 'potato', 'chips', 'stuffed', 'glob', 'cheese', 'ate', '20', 'told', 'waitress', 'never', 'came', 'back', 'check', 'came', 'clear', 'plates', 'awful', 'argued', 'us', 'sayingwell', 'make', 'another', '30', 'minutes', 'passed', 'second', 'course', 'arrive', 'stone', 'coldit', 'pasta', 'dish', 'way', 'cooked', 'al', 'dente', 'eat', 'bites', 'sat', '20', 'minutes', 'someone', 'came', 'clear', 'plateswe', 'told', 'food', 'edible', 'asked', 'waitressafter', 'sitting', '1015', 'minutes', 'decided', 'get', 'leavethe', 'waitress', 'never', 'appeared', 'started', 'walk', 'said', 'main', 'course', 'ready', '2', 'hours', 'arrived', 'paid', 'first', 'two', 'course', 'even', 'though', 'classy', 'restaurant', 'would', 'charged', 'walked', 'waitress', 'rude', 'food', 'awful', 'service', 'even', 'worse']",Neutro
